raw_user_query,rewritten_query,domain,source_title,source_url
"Yo, can I get more time for my STEM job stuff?",Inquire about extending STEM OPT eligibility for employment.,policy_compliance,Optional Practical Training Extension for STEM Students (STEM OPT),https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-extension-for-stem-students-stem-opt
"I heard I can keep working longer if I got a STEM degree, right?",Confirm eligibility for 24-month STEM OPT extension with a STEM degree.,policy_compliance,Optional Practical Training Extension for STEM Students (STEM OPT),https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-extension-for-stem-students-stem-opt
What’s the deal with those photos I gotta send to USCIS?,Understand the photo submission requirements for USCIS applications.,policy_compliance,Optional Practical Training Extension for STEM Students (STEM OPT),https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-extension-for-stem-students-stem-opt
Can I use my old STEM degree for some extra work time?,Ask about using a previous STEM degree for STEM OPT extension eligibility.,policy_compliance,Optional Practical Training Extension for STEM Students (STEM OPT),https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-extension-for-stem-students-stem-opt
"If I get another STEM degree, can I extend my work permit again?",Inquire about eligibility for additional STEM OPT extension after earning a new STEM degree.,policy_compliance,Optional Practical Training Extension for STEM Students (STEM OPT),https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-extension-for-stem-students-stem-opt
Can I change my OPT job stuff?,How can I edit my OPT employment information in SEVIS?,policy_compliance,No Title,https://studyinthestates.dhs.gov/sevis-help-hub/student-records/fm-student-employment/f-1-optional-practical-training-opt
What do I do if I wanna cancel my OPT?,What steps should I follow to cancel my OPT request in SEVIS?,policy_compliance,No Title,https://studyinthestates.dhs.gov/sevis-help-hub/student-records/fm-student-employment/f-1-optional-practical-training-opt
"I need to print my I-20 for OPT, help?",How do I print my Form I-20 for Optional Practical Training?,policy_compliance,No Title,https://studyinthestates.dhs.gov/sevis-help-hub/student-records/fm-student-employment/f-1-optional-practical-training-opt
Is it cool to work part-time during school?,Am I allowed to work part-time while enrolled in classes during Pre-Completion OPT?,policy_compliance,No Title,https://studyinthestates.dhs.gov/sevis-help-hub/student-records/fm-student-employment/f-1-optional-practical-training-opt
"What if I mailed my OPT app to USCIS, now what?",What should I do if I have submitted my Form I-765 to USCIS for OPT?,policy_compliance,No Title,https://studyinthestates.dhs.gov/sevis-help-hub/student-records/fm-student-employment/f-1-optional-practical-training-opt
